batteries 
V(X=-981.33, Y=-1533.31, Z=599.22)
V(X=-193.47, Y=-1496.90, Z=614.02)
V(X=-1583.94, Y=1225.42, Z=579.63)
V(X=-1648.55, Y=1474.23, Z=593.07)
V(X=779.76, Y=562.53, Z=577.10)
V(X=260.08, Y=-472.63, Z=599.57)
V(X=-1311.20, Y=-502.96, Z=617.55)
V(X=1155.92, Y=25.08, Z=629.50)
V(X=910.93, Y=-281.93, Z=609.02)
V(X=1390.93, Y=811.14, Z=614.32)
V(X=-509.89, Y=1228.66, Z=604.29)
V(X=1605.35, Y=205.77, Z=595.91)
V(X=-617.86, Y=567.05, Z=580.25)
V(X=-380.03, Y=1139.35, Z=599.77)
V(X=354.07, Y=-820.46, Z=590.62)
V(X=860.41, Y=1184.00, Z=618.36)
V(X=-500.36, Y=-1094.59, Z=586.16)
V(X=-364.53, Y=-677.46, Z=622.77)
V(X=4.47, Y=432.59, Z=581.13)
V(X=-1625.89, Y=1076.43, Z=570.02)
V(X=287.94, Y=1545.28, Z=584.55)
V(X=-1655.59, Y=-21.05, Z=589.14)
V(X=-436.72, Y=-973.38, Z=585.10)
V(X=-1605.73, Y=-859.23, Z=576.70)
V(X=1616.41, Y=-559.78, Z=592.57)
V(X=-1754.78, Y=-1356.35, Z=606.42)
V(X=909.63, Y=1510.93, Z=614.99)
V(X=1430.71, Y=360.94, Z=610.37)
V(X=-241.28, Y=517.38, Z=594.33)
V(X=828.87, Y=779.05, Z=609.85)
V(X=77.86, Y=394.60, Z=582.56)
V(X=-328.76, Y=615.73, Z=616.89)
V(X=-973.20, Y=-1305.41, Z=572.96)
V(X=-125.83, Y=-992.42, Z=585.31)
V(X=-1326.81, Y=1120.21, Z=586.62)
V(X=654.12, Y=-230.40, Z=607.85)
V(X=-592.50, Y=1598.87, Z=601.54)
V(X=-161.93, Y=-1483.55, Z=579.49)
V(X=1224.64, Y=752.15, Z=582.38)
V(X=-1279.01, Y=1577.48, Z=626.56)
V(X=51.73, Y=-101.63, Z=574.46)
V(X=1061.71, Y=-1124.72, Z=615.21)
V(X=140.08, Y=1495.42, Z=630.46)
V(X=257.16, Y=-499.03, Z=594.07)
V(X=-143.06, Y=761.67, Z=601.50)
V(X=-1695.48, Y=-294.49, Z=597.76)
V(X=1434.29, Y=-955.42, Z=587.48)
V(X=930.66, Y=596.79, Z=585.45)
V(X=-528.32, Y=-1290.20, Z=622.48)
V(X=-1732.67, Y=-454.57, Z=586.44)
V(X=540.30, Y=-65.51, Z=628.33)
V(X=-375.80, Y=-263.38, Z=582.07)
V(X=171.09, Y=-57.56, Z=584.60)
V(X=-398.35, Y=677.56, Z=621.24)
V(X=447.40, Y=1459.70, Z=630.05)
V(X=552.77, Y=1347.22, Z=570.11)
V(X=380.95, Y=-867.87, Z=572.36)
