batteries 
V(X=-1084.75, Y=1209.62, Z=631.48)
V(X=-450.17, Y=-691.20, Z=619.93)
V(X=1142.69, Y=-107.62, Z=625.68)
V(X=-850.82, Y=428.86, Z=589.69)
V(X=-1694.73, Y=516.21, Z=581.44)
V(X=1614.89, Y=-663.62, Z=613.80)
V(X=1338.14, Y=-1468.24, Z=570.54)
V(X=548.00, Y=-819.19, Z=602.38)
V(X=-1181.33, Y=576.96, Z=614.48)
V(X=474.07, Y=763.64, Z=627.75)
V(X=-1457.22, Y=-604.93, Z=578.34)
V(X=888.27, Y=1034.52, Z=592.26)
V(X=1714.18, Y=-858.15, Z=576.60)
V(X=865.83, Y=20.37, Z=603.64)
V(X=769.14, Y=-981.23, Z=597.20)
V(X=-1433.26, Y=-988.98, Z=630.24)
V(X=-1731.37, Y=63.55, Z=615.47)
V(X=1154.61, Y=-1014.50, Z=630.06)
V(X=-1191.85, Y=1088.11, Z=628.66)
V(X=-1229.79, Y=1209.42, Z=623.38)
V(X=-1748.93, Y=818.30, Z=620.59)
V(X=734.77, Y=-596.49, Z=581.95)
V(X=-1267.73, Y=-474.10, Z=623.85)
V(X=999.71, Y=1205.30, Z=625.90)
V(X=-1730.06, Y=1388.64, Z=630.98)
V(X=170.54, Y=-508.75, Z=620.51)
V(X=-1568.65, Y=983.78, Z=630.32)
V(X=1030.93, Y=-162.68, Z=617.36)
V(X=-5.83, Y=237.96, Z=624.55)
V(X=-1154.78, Y=-126.07, Z=607.13)
V(X=1314.51, Y=-1402.87, Z=579.42)
V(X=-1233.58, Y=-511.99, Z=569.90)
V(X=-1783.40, Y=-612.39, Z=631.16)
V(X=221.93, Y=-1352.42, Z=613.46)
V(X=-1312.50, Y=217.54, Z=608.39)
V(X=1653.15, Y=-298.32, Z=570.66)
V(X=-966.70, Y=403.73, Z=607.14)
V(X=1070.06, Y=-1216.00, Z=581.66)
V(X=-269.46, Y=471.16, Z=603.04)
V(X=911.79, Y=-1135.81, Z=605.30)
V(X=-1236.19, Y=441.42, Z=629.61)
V(X=-374.83, Y=1246.62, Z=612.71)
V(X=1512.77, Y=-140.99, Z=623.02)
V(X=-943.28, Y=-1371.56, Z=600.63)
V(X=1644.26, Y=-901.04, Z=592.31)
V(X=-960.74, Y=598.65, Z=576.85)
V(X=-719.22, Y=-1162.80, Z=575.81)
V(X=-1539.82, Y=-273.19, Z=588.40)
V(X=-183.71, Y=-500.70, Z=601.09)
V(X=-1541.12, Y=1498.27, Z=588.23)
V(X=499.65, Y=-657.93, Z=609.21)
V(X=1024.32, Y=-1279.70, Z=628.22)
V(X=746.59, Y=1488.36, Z=611.04)
V(X=1373.80, Y=-1107.25, Z=589.56)
V(X=799.92, Y=-413.45, Z=588.57)
V(X=-243.55, Y=55.60, Z=607.53)
V(X=736.18, Y=-687.67, Z=631.25)
V(X=1603.18, Y=1409.74, Z=588.97)
V(X=-1023.83, Y=-1487.67, Z=576.57)
V(X=1654.56, Y=1519.67, Z=580.79)
V(X=310.27, Y=959.05, Z=615.13)
V(X=1425.51, Y=-1048.36, Z=626.98)
V(X=-1466.11, Y=-1059.36, Z=617.65)
V(X=-1239.22, Y=-374.19, Z=613.75)
V(X=-780.36, Y=1124.43, Z=594.44)
V(X=909.52, Y=-986.14, Z=607.56)
V(X=-1662.96, Y=77.09, Z=593.07)
V(X=1383.99, Y=-1250.15, Z=602.83)
V(X=-642.58, Y=-1042.08, Z=622.89)
V(X=-1258.52, Y=572.84, Z=607.37)
V(X=1549.96, Y=574.41, Z=624.58)
V(X=620.52, Y=-205.67, Z=571.65)
V(X=-503.61, Y=-1018.53, Z=575.40)
V(X=440.14, Y=1120.60, Z=581.08)
V(X=-749.35, Y=-407.46, Z=616.75)
V(X=-963.34, Y=443.28, Z=570.70)
V(X=-503.50, Y=-498.93, Z=584.94)
V(X=-338.40, Y=-1042.38, Z=588.82)
V(X=532.50, Y=979.95, Z=631.88)
V(X=1509.74, Y=-1136.01, Z=618.08)
V(X=1438.30, Y=170.92, Z=627.04)
V(X=-473.69, Y=-514.44, Z=591.80)
V(X=1534.24, Y=1581.99, Z=623.54)
V(X=-1474.24, Y=758.14, Z=575.41)
V(X=468.54, Y=870.23, Z=609.91)
V(X=598.19, Y=477.73, Z=621.97)
V(X=737.16, Y=962.39, Z=582.78)
V(X=880.90, Y=-893.58, Z=588.87)
V(X=-1009.08, Y=1038.45, Z=568.18)
V(X=1135.10, Y=445.15, Z=627.93)
V(X=-855.26, Y=679.13, Z=582.94)
V(X=-1760.85, Y=478.32, Z=581.33)
V(X=1465.29, Y=574.80, Z=590.25)
V(X=177.37, Y=-1357.53, Z=610.80)
V(X=331.52, Y=1455.68, Z=625.02)
V(X=-47.45, Y=-285.76, Z=577.64)
V(X=-1413.53, Y=-1416.71, Z=589.31)
V(X=-632.71, Y=-1326.71, Z=608.39)
V(X=-1297.11, Y=-1449.98, Z=601.82)
V(X=-1371.15, Y=-637.22, Z=604.99)
V(X=1115.05, Y=716.43, Z=571.93)
V(X=1167.08, Y=317.46, Z=629.35)
V(X=-627.62, Y=-258.08, Z=602.54)
V(X=641.12, Y=1411.31, Z=606.49)
V(X=703.45, Y=-760.20, Z=618.34)
V(X=-630.55, Y=1189.01, Z=607.54)
V(X=1162.96, Y=-1295.30, Z=596.15)
V(X=-410.92, Y=152.77, Z=581.78)
V(X=-310.76, Y=890.74, Z=588.23)
V(X=-1357.70, Y=-720.26, Z=606.48)
V(X=346.80, Y=-1064.66, Z=611.26)
